"code","name","logo_url","tag","disp_order","created_at","modified_at"
1,"ABHYUDAYA COOPERATIVE BANK LIMITED","","",100,"",""
2,"AIRTEL PAYMENTS BANK LIMITED","","",100,"",""
3,"ANDHRA PRAGATHI GRAMEENA BANK","","",100,"",""
4,"APNA SAHAKARI BANK LIMITED","","",100,"",""
5,"AU SMALL FINANCE BANK LIMITED","","",100,"",""
6,"AXIS BANK","","",100,"",""
7,"BANDHAN BANK LIMITED","","",100,"",""
8,"BANK OF BAHARAIN AND KUWAIT BSC","","",100,"",""
9,"BANK OF BARODA","","",100,"",""
10,"BANK OF INDIA","","",100,"",""
11,"BANK OF MAHARASHTRA","","",100,"",""
12,"BASSEIN CATHOLIC COOPERATIVE BANK LIMITED","","",100,"",""
13,"CANARA BANK","","",100,"",""
14,"CAPITAL SMALL FINANCE BANK LIMITED","","",100,"",""
15,"CENTRAL BANK OF INDIA","","",100,"",""
16,"CITI BANK","","",100,"",""
17,"CITY UNION BANK LIMITED","","",100,"",""
18,"CSB BANK LIMITED","","",100,"",""
19,"DBS Bank India Limited","","",100,"",""
20,"DCB BANK LIMITED","","",100,"",""
21,"DEUSTCHE BANK","","",100,"",""
22,"DHANALAKSHMI BANK","","",100,"",""
23,"DOMBIVLI NAGARI SAHAKARI BANK LIMITED","","",100,"",""
24,"EQUITAS SMALL FINANCE BANK LIMITED","","",100,"",""
25,"ESAF SMALL FINANCE BANK LIMITED","","",100,"",""
26,"FEDERAL BANK","","",100,"",""
27,"FINCARE SMALL FINANCE BANK LTD","","",100,"",""
28,"G P PARSIK BANK","","",100,"",""
29,"HDFC BANK","","",100,"",""
30,"HSBC BANK","","",100,"",""
31,"ICICI BANK LIMITED","","",100,"",""
32,"IDBI BANK","","",100,"",""
33,"IDFC FIRST BANK LTD","","",100,"",""
34,"INDIAN BANK","","",100,"",""
35,"INDIAN OVERSEAS BANK","","",100,"",""
36,"INDUSIND BANK","","",100,"",""
37,"JALGAON JANATA SAHAKARI BANK LIMITED","","",100,"",""
38,"JAMMU AND KASHMIR BANK LIMITED","","",100,"",""
39,"JANA SMALL FINANCE BANK LTD","","",100,"",""
40,"JANATA SAHAKARI BANK LIMITED","","",100,"",""
41,"KALUPUR COMMERCIAL COOPERATIVE BANK","","",100,"",""
42,"KALYAN JANATA SAHAKARI BANK","","",100,"",""
43,"KARNATAKA BANK LIMITED","","",100,"",""
44,"KARNATAKA VIKAS GRAMEENA BANK","","",100,"",""
45,"KARUR VYSYA BANK","","",100,"",""
46,"KERALA GRAMIN BANK","","",100,"",""
47,"KOTAK MAHINDRA BANK LIMITED","","",100,"",""
48,"Maharashtra Gramin Bank","","",100,"",""
49,"NKGSB COOPERATIVE BANK LIMITED","","",100,"",""
50,"PAYTM PAYMENTS BANK LTD","","",100,"",""
51,"PUNJAB AND SIND BANK","","",100,"",""
52,"PUNJAB NATIONAL BANK","","",100,"",""
53,"RAJKOT NAGRIK SAHAKARI BANK LIMITED","","",100,"",""
54,"RBL Bank Limited","","",100,"",""
55,"SARASWAT COOPERATIVE BANK LIMITED","","",100,"",""
56,"SBM BANK INDIA LIMITED","","",100,"",""
57,"SOUTH INDIAN BANK","","",100,"",""
58,"STANDARD CHARTERED BANK","","",100,"",""
59,"STATE BANK OF INDIA","","",100,"",""
60,"SURYODAY SMALL FINANCE BANK LIMITED","","",100,"",""
61,"SUTEX COOPERATIVE BANK LIMITED","","",100,"",""
62,"TAMILNAD MERCANTILE BANK LIMITED","","",100,"",""
63,"THE COSMOS CO OPERATIVE BANK LIMITED","","",100,"",""
64,"THE GUJARAT STATE COOPERATIVE BANK LIMITED","","",100,"",""
65,"THE MEHSANA URBAN COOPERATIVE BANK","","",100,"",""
66,"THE NAINITAL BANK LIMITED","","",100,"",""
67,"THE SHAMRAO VITHAL COOPERATIVE BANK","","",100,"",""
68,"THE SURAT PEOPLES COOPERATIVE BANK LIMITED","","",100,"",""
69,"THE TAMIL NADU STATE APEX COOPERATIVE BANK","","",100,"",""
70,"THE THANE BHARAT SAHAKARI BANK LIMITED","","",100,"",""
71,"THE VARACHHA COOPERATIVE BANK LIMITED","","",100,"",""
72,"THE VISHWESHWAR SAHAKARI BANK LIMITED","","",100,"",""
73,"THE ZOROASTRIAN COOPERATIVE BANK LIMITED","","",100,"",""
74,"TJSB SAHAKARI BANK LTD","","",100,"",""
75,"UCO BANK","","",100,"",""
76,"Ujjivan Small Finance Bank Limited","","",100,"",""
77,"UNION BANK OF INDIA","","",100,"",""
78,"UTKARSH SMALL FINANCE BANK","","",100,"",""
79,"VASAI VIKAS SAHAKARI BANK LIMITED","","",100,"",""
80,"YES BANK","","",100,"",""
81,"ANDHRA PRADESH GRAMEENA VIKAS BANK","","",100,"",""
82,"FINO PAYMENTS BANK","","",100,"",""
83,"JIO PAYMENTS BANK LIMITED","","",100,"",""
84,"KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK LIMITED","","",100,"",""
85,"NORTH EAST SMALL FINANCE BANK LIMITED","","",100,"",""
86,"SURAT NATIONAL COOPERATIVE BANK LIMITED","","",100,"",""
87,"TELANGANA STATE COOP APEX BANK","","",100,"",""
88,"THE HASTI COOP BANK LTD","","",100,"",""
