"created_at","modified_at","id","rise_internal","rise_ui","idirect_value","idirect_code","kra_code","bse_code","wealthside_code"
"","",1,"SERVICE","","SERVICE","O0071","01","02","2"
"","",2,"STUDENT","Student","STUDENT","O0076","08","07","7"
"","",3,"INDUSTRIALIST","","INDUSTRIALIST","O0075","99","08","8"
"","",4,"OTHERS","Others","OTHERS","O0105","99","08","8"
"","",5,"OTHER","","OTHER","O0079","99","08","8"
"","",6,"RETIRED","Retired","RETIRED","O0078","06","05","5"
"","",7,"SELFEMPLOYED","","SELFEMPLOYED","O0077","03","01","1"
"","",8,"BUSINESS","Business","BUSINESS","O0072","03","01","1"
"","",9,"HOUSEWIFE","HouseWife","HOUSEWIFE","O0074","07","06","6"
"","",10,"PROFESSIONAL","Professional","PROFESSIONAL","O0073","04","03","3"
"","",11,"GOVERMENT SERVICE","Government Employee","GOVERMENT SERVICE","O0271","10","08","8"
"","",12,"PRIVATE SECTOR","Private Sector","PRIVATE SECTOR","O0269","01","02","2"
"","",13,"AGRICULTURE","Agriculture","AGRICULTURE","O0008","05","04","4"
"","",14,"FOREX DEALER","","FOREX DEALER","0272","09","08","8"
"","",15,"PUBLIC SECTOR","Public Sector","PUBLIC SECTOR","O0270","02","08","8"
